ensembl_id,gene_name,gene_type,chromosome,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000086289.13,EPDR1,protein_coding,chr7,1810,596,1488,967,487,1620,910
ENSG00000086300.17,SNX10,protein_coding,chr7,25,25,45,30,91,49,45
ENSG00000086475.15,SEPHS1,protein_coding,chr10,1782,2479,1650,1919,3091,1526,1620
ENSG00000086504.18,MRPL28,protein_coding,chr16,1541,1114,1595,1439,1378,1098,1087
ENSG00000086506.3,HBQ1,protein_coding,chr16,4,0,15,2,1,5,8
ENSG00000086544.4,ITPKC,protein_coding,chr19,757,612,618,544,739,648,770
ENSG00000086548.9,CEACAM6,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000086570.13,FAT2,protein_coding,chr5,76,969,16,44,965,43,13
ENSG00000086589.12,RBM22,protein_coding,chr5,1302,1261,1085,1339,1848,1134,1307
ENSG00000086598.11,TMED2,protein_coding,chr12,9465,5134,8724,8336,7370,8516,6059
ENSG00000086619.15,ERO1B,protein_coding,chr1,284,335,227,249,534,322,131
ENSG00000086666.19,ZFAND6,protein_coding,chr15,1986,1323,1469,1345,1794,1285,1219
ENSG00000086696.11,HSD17B2,protein_coding,chr16,293,129,19,84,176,11,94
ENSG00000086712.13,TXLNG,protein_coding,chrX,598,807,869,547,1054,852,731
ENSG00000086717.19,PPEF1,protein_coding,chrX,1,3,1,2,132,1,6
ENSG00000086730.17,LAT2,protein_coding,chr7,28,6,42,16,10,23,14
ENSG00000086758.17,HUWE1,protein_coding,chrX,9134,10696,7610,8845,8702,11817,10454
ENSG00000086827.9,ZW10,protein_coding,chr11,679,695,567,726,913,708,546
ENSG00000086848.15,ALG9,protein_coding,chr11,277,470,313,260,434,213,178
ENSG00000086967.10,MYBPC2,protein_coding,chr19,4,12,3,3,25,2,7
ENSG00000086991.13,NOX4,protein_coding,chr11,6470,222,2215,3364,2732,4154,3763
ENSG00000087008.16,ACOX3,protein_coding,chr4,1268,455,703,1304,1021,840,849
ENSG00000087053.20,MTMR2,protein_coding,chr11,2538,1157,1602,2409,1880,2092,1969
ENSG00000087074.9,PPP1R15A,protein_coding,chr19,1502,1036,1419,1315,1525,1504,1746
ENSG00000087076.9,HSD17B14,protein_coding,chr19,1001,391,321,401,548,333,383
ENSG00000087077.14,TRIP6,protein_coding,chr7,2045,1818,2441,2181,2123,1555,1598
ENSG00000087085.16,ACHE,protein_coding,chr7,646,122,745,476,189,505,459
ENSG00000087086.15,FTL,protein_coding,chr19,93058,24330,30081,42951,43300,53984,53059
ENSG00000087087.20,SRRT,protein_coding,chr7,3358,3375,4342,3925,3938,2348,2967
ENSG00000087088.21,BAX,protein_coding,chr19,3177,1738,2960,2448,2877,2361,2186
ENSG00000087095.13,NLK,protein_coding,chr17,1055,376,687,830,607,961,1003
ENSG00000087111.22,PIGS,protein_coding,chr17,3553,2068,3326,2314,1813,2631,2077
ENSG00000087116.17,ADAMTS2,protein_coding,chr5,55,4882,52,220,1543,343,556
ENSG00000087128.10,TMPRSS11E,protein_coding,chr4,0,0,1,0,0,0,0
ENSG00000087152.16,ATXN7L3,protein_coding,chr17,3996,3433,2814,3231,5137,3223,3157
ENSG00000087157.19,PGS1,protein_coding,chr17,690,971,594,603,1058,623,556
ENSG00000087191.14,PSMC5,protein_coding,chr17,3749,2303,3885,3682,3097,2872,2899
ENSG00000087206.17,UIMC1,protein_coding,chr5,636,546,624,644,726,464,421
ENSG00000087237.12,CETP,protein_coding,chr16,1,5,0,1,0,0,0
ENSG00000087245.13,MMP2,protein_coding,chr16,74755,28003,23428,24444,60242,59397,44220
ENSG00000087250.9,MT3,protein_coding,chr16,0,0,0,0,0,1,0
ENSG00000087253.13,LPCAT2,protein_coding,chr16,5775,586,2112,1673,1552,5217,1786
ENSG00000087258.16,GNAO1,protein_coding,chr16,148,21,15,34,104,104,57
ENSG00000087263.17,OGFOD1,protein_coding,chr16,2217,1228,1779,2170,1824,2219,1851
ENSG00000087266.17,SH3BP2,protein_coding,chr4,1307,1912,1391,1367,1879,1025,1253
ENSG00000087269.16,NOP14,protein_coding,chr4,1047,756,1119,1180,1050,1025,1054
ENSG00000087274.19,ADD1,protein_coding,chr4,9953,8851,7047,8173,9833,8240,8101
ENSG00000087299.12,L2HGDH,protein_coding,chr14,282,217,209,239,341,205,175
ENSG00000087301.9,TXNDC16,protein_coding,chr14,410,668,230,276,750,224,244
ENSG00000087302.9,RTRAF,protein_coding,chr14,3971,2646,2763,3280,3718,2944,2645
ENSG00000087303.19,NID2,protein_coding,chr14,90,3462,148,375,577,253,1562
ENSG00000087338.5,GMCL1,protein_coding,chr2,917,742,400,710,1024,793,638
ENSG00000087365.16,SF3B2,protein_coding,chr11,5817,5463,5616,6177,6982,5120,5303
ENSG00000087448.11,KLHL42,protein_coding,chr12,1560,1134,1394,1518,1658,1325,1333
ENSG00000087460.29,GNAS,protein_coding,chr20,55710,54128,36103,43717,67235,42603,51547
ENSG00000087470.21,DNM1L,protein_coding,chr12,2997,2172,2563,2773,2773,2540,2290
ENSG00000087494.16,PTHLH,protein_coding,chr12,837,10,626,383,132,1015,1064
ENSG00000087495.17,PHACTR3,protein_coding,chr20,0,228,4,2,1919,0,3
ENSG00000087502.19,ERGIC2,protein_coding,chr12,1917,1562,1593,1268,1581,1798,1136
ENSG00000087510.7,TFAP2C,protein_coding,chr20,64,27,78,205,102,107,83
ENSG00000087586.18,AURKA,protein_coding,chr20,537,1009,1109,1210,706,358,401
ENSG00000087589.17,CASS4,protein_coding,chr20,23,9,5,6,8,29,31
ENSG00000087842.11,PIR,protein_coding,chrX,275,302,119,184,462,142,159
ENSG00000087884.16,AAMDC,protein_coding,chr11,490,332,325,390,441,301,317
ENSG00000087903.13,RFX2,protein_coding,chr19,94,162,117,106,306,121,134
ENSG00000087995.16,METTL2A,protein_coding,chr17,612,456,624,492,551,448,427
ENSG00000088002.12,SULT2B1,protein_coding,chr19,5,2,0,4,4,1,3
ENSG00000088035.18,ALG6,protein_coding,chr1,356,288,359,281,422,265,210
ENSG00000088038.20,CNOT3,protein_coding,chr19,1818,1669,1416,1870,2519,1490,1719
ENSG00000088053.11,GP6,protein_coding,chr19,27,3,38,2,1,82,24
ENSG00000088179.9,PTPN4,protein_coding,chr2,705,404,412,455,975,699,482
ENSG00000088205.13,DDX18,protein_coding,chr2,2135,1467,2071,2578,2150,1976,2035
ENSG00000088247.19,KHSRP,protein_coding,chr19,5624,6642,4401,5987,8937,5524,7023
ENSG00000088256.9,GNA11,protein_coding,chr19,2541,2155,2160,2332,3377,2593,2570
ENSG00000088280.20,ASAP3,protein_coding,chr1,1189,1781,1011,1003,1681,734,793
ENSG00000088298.13,EDEM2,protein_coding,chr20,1974,511,2472,946,727,1489,890
ENSG00000088305.19,DNMT3B,protein_coding,chr20,304,782,369,667,528,236,341
ENSG00000088320.4,REM1,protein_coding,chr20,0,0,0,0,0,0,1
ENSG00000088325.16,TPX2,protein_coding,chr20,1146,4184,2264,3154,2870,741,1131
ENSG00000088340.17,FER1L4,transcribed_unitary_pseudogene,chr20,155,107,51,55,41,46,11
ENSG00000088356.6,PDRG1,protein_coding,chr20,627,356,627,556,661,468,559
ENSG00000088367.23,EPB41L1,protein_coding,chr20,1999,1533,1064,1187,2909,2459,2113
ENSG00000088386.17,SLC15A1,protein_coding,chr13,0,0,2,0,0,0,0
ENSG00000088387.22,DOCK9,protein_coding,chr13,1522,546,828,730,1203,1739,1034
ENSG00000088448.14,ANKRD10,protein_coding,chr13,1509,1608,1621,1448,1687,843,1227
ENSG00000088451.11,TGDS,protein_coding,chr13,342,211,230,312,240,259,204
ENSG00000088538.13,DOCK3,protein_coding,chr3,327,19,201,106,252,310,259
ENSG00000088543.15,C3orf18,protein_coding,chr3,226,302,209,185,380,189,141
ENSG00000088682.14,COQ9,protein_coding,chr16,1007,611,853,688,1087,747,578
ENSG00000088726.16,TMEM40,protein_coding,chr3,48,13,38,47,2,15,3
ENSG00000088727.14,KIF9,protein_coding,chr3,73,39,71,70,90,64,63
ENSG00000088756.13,ARHGAP28,protein_coding,chr18,1160,4463,210,963,3377,738,789
ENSG00000088766.12,CRLS1,protein_coding,chr20,130,42,116,67,288,292,234
ENSG00000088782.5,DEFB127,protein_coding,chr20,0,0,0,0,0,0,0
ENSG00000088808.18,PPP1R13B,protein_coding,chr14,428,184,213,208,401,341,341
ENSG00000088812.18,ATRN,protein_coding,chr20,3440,2827,2630,2670,4119,4094,3067
ENSG00000088826.18,SMOX,protein_coding,chr20,912,521,966,774,1167,1364,1110
ENSG00000088827.14,SIGLEC1,protein_coding,chr20,0,0,0,0,1,0,1
ENSG00000088832.18,FKBP1A,protein_coding,chr20,6466,3024,5448,6284,4573,7208,7076
ENSG00000088833.18,NSFL1C,protein_coding,chr20,2843,1602,2317,2423,2329,2445,1995
ENSG00000088836.14,SLC4A11,protein_coding,chr20,79,33,139,61,50,116,74
ENSG00000088854.13,DNAAF9,protein_coding,chr20,1485,1216,1091,1265,1269,1375,1132
ENSG00000088876.13,ZNF343,protein_coding,chr20,262,262,267,245,301,208,142
ENSG00000088881.22,EBF4,protein_coding,chr20,49,379,69,33,407,64,122
ENSG00000088882.8,CPXM1,protein_coding,chr20,2926,14600,4639,4201,9357,2449,4997
ENSG00000088888.18,MAVS,protein_coding,chr20,4801,3070,3273,4048,4295,4782,4222
ENSG00000088899.16,LZTS3,protein_coding,chr20,876,308,1000,605,551,900,515
ENSG00000088926.15,F11,protein_coding,chr4,3,0,0,1,3,0,0
ENSG00000088930.8,XRN2,protein_coding,chr20,3654,3462,2740,3401,4057,2947,2825
ENSG00000088970.16,KIZ,protein_coding,chr20,419,289,203,249,430,261,218
ENSG00000088986.11,DYNLL1,protein_coding,chr12,7597,4490,6270,6275,6536,5328,5758
ENSG00000088992.18,TESC,protein_coding,chr12,10,0,5,6,104,14,24
ENSG00000089006.17,SNX5,protein_coding,chr20,2100,2237,1760,2115,1937,1412,1272
ENSG00000089009.16,RPL6,protein_coding,chr12,17728,14000,12682,13682,15239,11494,9755
ENSG00000089012.14,SIRPG,protein_coding,chr20,0,0,0,0,11,0,0
ENSG00000089022.15,MAPKAPK5,protein_coding,chr12,957,719,904,902,1097,801,794
ENSG00000089041.17,P2RX7,protein_coding,chr12,5,28,15,8,31,5,4
ENSG00000089048.15,ESF1,protein_coding,chr20,641,477,478,530,760,467,469
ENSG00000089050.16,RBBP9,protein_coding,chr20,991,795,592,712,972,734,769
ENSG00000089053.13,ANAPC5,protein_coding,chr12,4782,3490,3490,3910,4011,3480,2654
ENSG00000089057.15,SLC23A2,protein_coding,chr20,1920,1507,937,1057,1492,1052,1009
ENSG00000089060.12,SLC8B1,protein_coding,chr12,301,599,456,275,399,264,235
ENSG00000089063.15,TMEM230,protein_coding,chr20,3416,2077,2130,1975,3337,2931,2386
ENSG00000089091.17,DZANK1,protein_coding,chr20,106,78,110,89,133,94,59
ENSG00000089094.20,KDM2B,protein_coding,chr12,845,1154,683,850,1988,639,769
ENSG00000089101.19,CFAP61,protein_coding,chr20,4,2,1,2,10,1,2
ENSG00000089116.4,LHX5,protein_coding,chr12,0,0,1,0,15,1,2
ENSG00000089123.16,TASP1,protein_coding,chr20,199,103,150,155,218,188,145
ENSG00000089127.15,OAS1,protein_coding,chr12,44,50,88,723,716,117,10
ENSG00000089154.11,GCN1,protein_coding,chr12,5113,5143,5876,5663,4781,5804,4661
ENSG00000089157.16,RPLP0,protein_coding,chr12,35107,25012,22549,28666,23274,19734,22188
ENSG00000089159.17,PXN,protein_coding,chr12,4849,3011,4178,4079,3293,4303,4448
ENSG00000089163.4,SIRT4,protein_coding,chr12,33,37,37,52,55,22,20
ENSG00000089169.15,RPH3A,protein_coding,chr12,0,0,0,0,2,9,2
ENSG00000089177.20,KIF16B,protein_coding,chr20,585,431,320,526,434,525,380
ENSG00000089195.15,TRMT6,protein_coding,chr20,547,343,541,643,596,572,555
ENSG00000089199.10,CHGB,protein_coding,chr20,69,31,135,49,148,287,148
ENSG00000089220.5,PEBP1,protein_coding,chr12,9191,6151,6259,7990,7118,4999,4898
ENSG00000089225.20,TBX5,protein_coding,chr12,0,0,0,0,0,1,0
ENSG00000089234.16,BRAP,protein_coding,chr12,913,703,645,729,1132,826,778
ENSG00000089248.7,ERP29,protein_coding,chr12,4058,3342,4394,3788,2864,2157,1854
ENSG00000089250.20,NOS1,protein_coding,chr12,3,0,1,1,0,5,0
ENSG00000089280.19,FUS,protein_coding,chr16,7216,11116,7949,8588,9691,5207,6255
ENSG00000089289.16,IGBP1,protein_coding,chrX,1612,1140,988,960,1206,885,826
ENSG00000089327.15,FXYD5,protein_coding,chr19,2015,1276,2258,2050,1889,2152,1549
ENSG00000089335.22,ZNF302,protein_coding,chr19,785,1148,667,636,1341,585,574
ENSG00000089351.15,GRAMD1A,protein_coding,chr19,2674,2160,2153,1703,3205,2205,2291
ENSG00000089356.19,FXYD3,protein_coding,chr19,0,0,0,0,2,0,0
ENSG00000089472.18,HEPH,protein_coding,chrX,2809,6388,1764,1888,7188,1669,2800
ENSG00000089486.17,CDIP1,protein_coding,chr16,1751,1025,1394,1280,1566,1654,1236
ENSG00000089505.18,CMTM1,protein_coding,chr16,66,92,34,38,142,110,65
ENSG00000089558.9,KCNH4,protein_coding,chr17,0,0,0,1,0,0,1
ENSG00000089597.18,GANAB,protein_coding,chr11,20754,19963,19931,20057,16813,17499,14485
ENSG00000089639.11,GMIP,protein_coding,chr19,1081,630,794,913,1699,1067,1273
ENSG00000089682.17,RBM41,protein_coding,chrX,743,578,536,605,936,824,527
ENSG00000089685.15,BIRC5,protein_coding,chr17,475,1770,1030,1333,1302,237,421
ENSG00000089692.9,LAG3,protein_coding,chr12,24,43,49,53,92,28,60
ENSG00000089693.11,MLF2,protein_coding,chr12,6416,3644,5742,6064,5932,6438,7201
ENSG00000089723.10,OTUB2,protein_coding,chr14,127,113,105,69,128,79,47
ENSG00000089737.19,DDX24,protein_coding,chr14,3681,2961,3103,3654,3904,2838,2849
ENSG00000089775.12,ZBTB25,protein_coding,chr14,188,234,203,184,275,184,123
ENSG00000089818.18,NECAP1,protein_coding,chr12,917,506,707,880,708,762,551
ENSG00000089820.17,ARHGAP4,protein_coding,chrX,139,92,94,65,206,100,53
ENSG00000089847.13,ANKRD24,protein_coding,chr19,8,15,5,6,41,12,7
ENSG00000089876.12,DHX32,protein_coding,chr10,1378,588,977,889,982,1357,1049
ENSG00000089902.10,RCOR1,protein_coding,chr14,1164,1334,966,1317,1741,1202,1108
ENSG00000089916.18,GPATCH2L,protein_coding,chr14,1814,1794,1539,1679,2478,1753,1637
ENSG00000090006.18,LTBP4,protein_coding,chr19,1498,4981,877,2300,8060,1368,1084
ENSG00000090013.11,BLVRB,protein_coding,chr19,432,398,257,354,280,216,191
ENSG00000090020.11,SLC9A1,protein_coding,chr1,1708,1305,2122,1776,2141,1821,2013
ENSG00000090054.16,SPTLC1,protein_coding,chr9,2709,2332,2868,2157,3138,2544,1844
ENSG00000090060.19,PAPOLA,protein_coding,chr14,5587,4548,3818,4694,6861,4958,4816
ENSG00000090061.17,CCNK,protein_coding,chr14,1599,1167,1216,1655,2183,2301,2186
ENSG00000090097.22,PCBP4,protein_coding,chr3,1550,1501,2294,1700,1847,1348,1182
ENSG00000090104.12,RGS1,protein_coding,chr1,23,0,0,24,190,154,62
ENSG00000090238.12,YPEL3,protein_coding,chr16,503,559,241,239,1011,452,358
ENSG00000090263.16,MRPS33,protein_coding,chr7,709,373,526,527,499,483,440
ENSG00000090266.13,NDUFB2,protein_coding,chr7,1953,864,1459,1497,1123,1493,1292
ENSG00000090273.14,NUDC,protein_coding,chr1,2414,1926,3000,2707,2644,2367,2241
ENSG00000090316.16,MAEA,protein_coding,chr4,2781,1648,2265,2463,2428,2088,1988
ENSG00000090339.9,ICAM1,protein_coding,chr19,1117,1914,4798,1100,374,480,614
ENSG00000090372.15,STRN4,protein_coding,chr19,3409,3032,2672,2959,4192,2786,3340
ENSG00000090376.11,IRAK3,protein_coding,chr12,12,64,15,17,27,28,14
ENSG00000090382.7,LYZ,protein_coding,chr12,0,1,0,0,0,3,1
ENSG00000090402.8,SI,protein_coding,chr3,2,0,0,0,0,0,0
ENSG00000090432.7,MUL1,protein_coding,chr1,1212,956,933,706,1208,981,734
ENSG00000090447.12,TFAP4,protein_coding,chr16,59,163,81,93,173,52,66
ENSG00000090470.15,PDCD7,protein_coding,chr15,473,498,462,402,871,410,378
ENSG00000090487.11,SPG21,protein_coding,chr15,2047,1891,1281,1443,2700,1187,1223
ENSG00000090512.12,FETUB,protein_coding,chr3,1,2,5,0,0,2,1
ENSG00000090520.12,DNAJB11,protein_coding,chr3,1920,1207,2689,2183,2623,2308,1907
ENSG00000090530.10,P3H2,protein_coding,chr3,12578,11735,10245,7880,2856,6890,7592
ENSG00000090534.20,THPO,protein_coding,chr3,1,14,0,3,9,9,12
ENSG00000090539.16,CHRD,protein_coding,chr3,207,274,72,94,106,154,223
ENSG00000090554.13,FLT3LG,protein_coding,chr19,1,0,0,0,1,0,4
ENSG00000090565.17,RAB11FIP3,protein_coding,chr16,1940,1945,1586,1491,2859,1564,1555
ENSG00000090581.11,GNPTG,protein_coding,chr16,1971,1048,1696,851,1277,1239,980
ENSG00000090612.22,ZNF268,protein_coding,chr12,774,662,588,479,889,587,689
ENSG00000090615.16,GOLGA3,protein_coding,chr12,6031,3899,3625,4815,4874,5267,3899
ENSG00000090621.15,PABPC4,protein_coding,chr1,3667,2956,3754,3861,3655,2993,3012
ENSG00000090659.18,CD209,protein_coding,chr19,1,0,0,0,0,0,0
ENSG00000090661.12,CERS4,protein_coding,chr19,487,406,342,208,553,218,278
ENSG00000090674.16,MCOLN1,protein_coding,chr19,1315,422,1013,827,790,777,814
ENSG00000090686.16,USP48,protein_coding,chr1,2309,2404,1695,2193,2668,2160,1631
ENSG00000090776.6,EFNB1,protein_coding,chrX,470,2720,678,508,1439,625,723
ENSG00000090857.14,PDPR,protein_coding,chr16,2670,3866,1166,2399,3475,2199,1289
ENSG00000090861.17,AARS1,protein_coding,chr16,3416,2921,2830,3346,3261,2566,2468
ENSG00000090863.12,GLG1,protein_coding,chr16,9783,10805,8518,8577,11155,9174,7481
ENSG00000090889.12,KIF4A,protein_coding,chrX,303,1724,646,1031,1068,177,257
ENSG00000090905.19,TNRC6A,protein_coding,chr16,2466,2928,1763,2427,3925,2344,2057
ENSG00000090924.15,PLEKHG2,protein_coding,chr19,4602,5211,4300,5070,6248,3906,5202
ENSG00000090932.11,DLL3,protein_coding,chr19,9,8,20,9,39,22,22
ENSG00000090971.5,NAT14,protein_coding,chr19,2492,1168,2041,1286,2648,1097,1398
ENSG00000090975.14,PITPNM2,protein_coding,chr12,204,316,165,243,367,373,369
ENSG00000090989.18,EXOC1,protein_coding,chr4,1336,977,1063,1063,1255,1099,1066
ENSG00000091009.8,RBM27,protein_coding,chr5,385,356,406,429,534,373,342
ENSG00000091010.6,POU4F3,protein_coding,chr5,2,2,0,0,1,2,2
ENSG00000091039.17,OSBPL8,protein_coding,chr12,4679,3278,2131,3773,5948,4415,3989
ENSG00000091073.20,DTX2,protein_coding,chr7,471,255,432,392,460,352,364
ENSG00000091106.19,NLRC4,protein_coding,chr2,0,0,0,0,2,0,0
ENSG00000091127.14,PUS7,protein_coding,chr7,701,329,885,846,451,758,632
ENSG00000091128.13,LAMB4,protein_coding,chr7,7,8,3,4,2,3,3
ENSG00000091129.22,NRCAM,protein_coding,chr7,98,93,198,172,155,118,313
ENSG00000091136.15,LAMB1,protein_coding,chr7,36212,31350,33152,32182,30275,33952,25057
ENSG00000091137.14,SLC26A4,protein_coding,chr7,1,7,3,2,6,6,4
ENSG00000091138.13,SLC26A3,protein_coding,chr7,0,0,0,0,0,0,0
ENSG00000091140.15,DLD,protein_coding,chr7,2257,1793,1845,1784,2060,1412,1315
ENSG00000091157.15,WDR7,protein_coding,chr18,965,739,585,673,904,837,763
ENSG00000091164.13,TXNL1,protein_coding,chr18,1599,1208,1397,1502,1954,1464,1289
ENSG00000091181.20,IL5RA,protein_coding,chr3,0,0,0,0,3,1,1
ENSG00000091262.17,ABCC6,protein_coding,chr16,1011,85,179,215,150,282,153
ENSG00000091317.8,CMTM6,protein_coding,chr3,3350,2685,2914,2575,2791,2590,2184
ENSG00000091409.16,ITGA6,protein_coding,chr2,2579,1224,2575,1909,989,2104,867
ENSG00000091428.18,RAPGEF4,protein_coding,chr2,38,24,6,13,68,21,53
ENSG00000091436.17,MAP3K20,protein_coding,chr2,2720,2929,2776,2821,2497,2564,2054
ENSG00000091482.8,SMPX,protein_coding,chrX,4,3,0,0,1,0,4
ENSG00000091483.8,FH,protein_coding,chr1,1832,1565,1711,2116,1463,1203,1496
ENSG00000091490.11,SEL1L3,protein_coding,chr4,1449,551,1895,2389,1373,1500,1258
ENSG00000091513.16,TF,protein_coding,chr3,16,21,9,4,26,6,7
ENSG00000091527.17,CDV3,protein_coding,chr3,6730,5085,6897,7438,6474,6452,6068
ENSG00000091536.20,MYO15A,protein_coding,chr17,10,17,13,8,26,8,4
ENSG00000091542.9,ALKBH5,protein_coding,chr17,2258,1326,1492,1629,2337,1825,1839
ENSG00000091583.11,APOH,protein_coding,chr17,0,0,0,0,0,1,0
ENSG00000091592.17,NLRP1,protein_coding,chr17,44,19,55,103,82,64,35
ENSG00000091622.16,PITPNM3,protein_coding,chr17,140,27,75,135,2940,185,164
ENSG00000091640.8,SPAG7,protein_coding,chr17,1825,1089,1721,1422,1286,1369,1229
ENSG00000091651.9,ORC6,protein_coding,chr16,418,838,489,565,657,210,317
ENSG00000091656.19,ZFHX4,protein_coding,chr8,1087,8334,533,1334,6661,1182,1209
ENSG00000091664.9,SLC17A6,protein_coding,chr11,0,0,0,0,2,0,0
ENSG00000091704.10,CPA1,protein_coding,chr7,0,9,1,2,3,0,0
ENSG00000091732.17,ZC3HC1,protein_coding,chr7,724,566,636,721,697,446,580
ENSG00000091831.25,ESR1,protein_coding,chr6,0,0,1,1,0,2,0
ENSG00000091844.8,RGS17,protein_coding,chr6,177,82,196,200,120,233,200
ENSG00000091879.14,ANGPT2,protein_coding,chr8,17,30,11,44,23,8,96
ENSG00000091947.10,TMEM101,protein_coding,chr17,584,496,648,483,463,274,327
ENSG00000091972.18,CD200,protein_coding,chr3,2127,851,1418,2241,2011,1646,411
ENSG00000091986.16,CCDC80,protein_coding,chr3,15036,22956,9449,26657,22670,15317,15144
ENSG00000092009.10,CMA1,protein_coding,chr14,0,0,0,0,0,3,0
ENSG00000092010.15,PSME1,protein_coding,chr14,1065,1084,1178,842,641,318,327
ENSG00000092020.11,PPP2R3C,protein_coding,chr14,648,454,533,573,889,463,569
ENSG00000092036.19,HAUS4,protein_coding,chr14,139,380,118,156,284,107,91
ENSG00000092051.18,JPH4,protein_coding,chr14,213,456,63,301,600,53,141
ENSG00000092054.13,MYH7,protein_coding,chr14,1,6,0,18,13,58,7
ENSG00000092067.7,CEBPE,protein_coding,chr14,0,0,0,1,1,0,0
ENSG00000092068.21,SLC7A8,protein_coding,chr14,744,295,565,750,1969,395,4870
ENSG00000092094.11,OSGEP,protein_coding,chr14,677,813,887,803,701,373,459
ENSG00000092096.19,SLC22A17,protein_coding,chr14,3192,2099,1506,1381,4559,2672,2423
ENSG00000092098.18,RNF31,protein_coding,chr14,55,43,73,59,82,23,34
ENSG00000092108.22,SCFD1,protein_coding,chr14,1827,1178,1147,1514,1696,1686,1364
ENSG00000092140.16,G2E3,protein_coding,chr14,656,1156,568,736,980,493,439
ENSG00000092148.14,HECTD1,protein_coding,chr14,4981,5904,3580,4697,5431,5023,4074
ENSG00000092199.19,HNRNPC,protein_coding,chr14,12506,11091,10033,12837,14945,9514,9004
ENSG00000092200.13,RPGRIP1,protein_coding,chr14,1,0,0,0,0,0,1
ENSG00000092201.10,SUPT16H,protein_coding,chr14,4057,5488,3459,4665,5942,3079,3511
ENSG00000092203.15,TOX4,protein_coding,chr14,2653,1840,1748,2107,2462,2143,1931
ENSG00000092208.19,GEMIN2,protein_coding,chr14,231,209,213,257,271,123,143
ENSG00000092295.12,TGM1,protein_coding,chr14,20,12,60,56,24,25,29
ENSG00000092330.19,TINF2,protein_coding,chr14,1323,883,817,1056,1290,885,788
ENSG00000092345.14,DAZL,protein_coding,chr3,0,0,0,0,0,0,0
ENSG00000092377.15,TBL1Y,protein_coding,chrY,17,0,0,11,0,0,1
ENSG00000092421.17,SEMA6A,protein_coding,chr5,1675,1550,1103,583,7110,1928,2066
ENSG00000092439.16,TRPM7,protein_coding,chr15,1635,1527,1107,1531,1572,1178,1008
ENSG00000092445.12,TYRO3,protein_coding,chr15,1706,1621,2142,833,2818,1899,926
ENSG00000092470.12,WDR76,protein_coding,chr15,127,513,128,206,338,40,56
ENSG00000092529.26,CAPN3,protein_coding,chr15,4,12,6,4,20,5,4
ENSG00000092531.10,SNAP23,protein_coding,chr15,3611,1631,2660,3089,2265,2742,2299
ENSG00000092607.15,TBX15,protein_coding,chr1,2,106,2,63,64,14,17
ENSG00000092621.13,PHGDH,protein_coding,chr1,2185,2035,1198,2579,2467,997,1215
ENSG00000092758.18,COL9A3,protein_coding,chr20,350,944,197,871,8765,884,268
ENSG00000092820.19,EZR,protein_coding,chr6,3814,1666,11257,3821,1927,2728,4664
ENSG00000092841.19,MYL6,protein_coding,chr12,42933,18105,36434,40455,27470,28339,29734
ENSG00000092847.14,AGO1,protein_coding,chr1,1781,1665,1040,1591,3158,1429,1580
ENSG00000092850.12,TEKT2,protein_coding,chr1,7,38,13,20,77,7,9
ENSG00000092853.14,CLSPN,protein_coding,chr1,262,919,352,624,663,105,142
ENSG00000092871.17,RFFL,protein_coding,chr17,368,282,467,196,325,350,222
ENSG00000092929.13,UNC13D,protein_coding,chr17,76,28,120,33,28,65,28
ENSG00000092931.12,MFSD11,protein_coding,chr17,756,451,510,451,660,511,324
ENSG00000092964.18,DPYSL2,protein_coding,chr8,2726,3334,4155,3608,3881,2133,2935
ENSG00000092969.12,TGFB2,protein_coding,chr1,14539,6487,14289,13462,10980,13115,14944
ENSG00000092978.11,GPATCH2,protein_coding,chr1,485,424,323,409,753,457,475
ENSG00000093000.19,NUP50,protein_coding,chr22,1423,1714,1345,1609,2065,1281,1198
ENSG00000093009.11,CDC45,protein_coding,chr22,108,410,214,355,279,55,71
ENSG00000093010.15,COMT,protein_coding,chr22,2131,131,2730,1411,442,1380,1589
ENSG00000093072.19,ADA2,protein_coding,chr22,1423,261,322,412,583,741,202
ENSG00000093100.13,ENSG00000093100,lncRNA,chr22,6,7,15,14,6,16,7
ENSG00000093134.17,VNN3P,transcribed_unitary_pseudogene,chr6,0,0,1,0,0,0,0
ENSG00000093144.19,ECHDC1,protein_coding,chr6,1357,837,1351,1374,1373,1223,1075
ENSG00000093167.18,LRRFIP2,protein_coding,chr3,1321,907,1086,1658,1282,1504,1295
ENSG00000093183.14,SEC22C,protein_coding,chr3,1565,1294,1337,1337,1559,1184,1016
ENSG00000093217.11,XYLB,protein_coding,chr3,87,148,52,97,112,67,34
ENSG00000094631.22,HDAC6,protein_coding,chrX,2144,2663,2142,2295,2381,1438,1362
ENSG00000094661.3,OR1I1,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000094755.17,GABRP,protein_coding,chr5,2,5,0,0,7,2,1
ENSG00000094796.5,KRT31,protein_coding,chr17,0,0,1,0,1,0,0
ENSG00000094804.12,CDC6,protein_coding,chr17,382,823,508,964,1157,187,347
